33
1.0000     0.0010 0.0
0.9500     0.0152 0.0
0.9000     0.0280 0.0
0.8000     0.0523 0.0
0.7000     0.0736 0.0
0.6000     0.0915 0.0
0.5000     0.1053 0.0
0.4000     0.1141 0.0
0.3000     0.1173 0.0
0.2000     0.1136 0.0
0.1500     0.1069 0.0
0.1000     0.0960 0.0
0.0750     0.0885 0.0
0.0500     0.0789 0.0
0.0250     0.0651 0.0
0.0125     0.0555 0.0
0.0000     0.0349 0.0
0.0125     0.0192 0.0
0.0250     0.0147 0.0
0.0500     0.0093 0.0
0.0750     0.0064 0.0
0.1000     0.0043 0.0
0.1500     0.0016 0.0
0.2000     0.0003 0.0
0.3000     0.0000 0.0
0.4000     0.0021 0.0
0.5000     0.0059 0.0
0.6000     0.0085 0.0
0.7000     0.0091 0.0
0.8000     0.0072 0.0
0.9000     0.0040 0.0
0.9500     0.0021 0.0
1.0000     0.0010 0.0
