33
1.0000     0.0042 0.0
0.9500     0.0170 0.0
0.9000     0.0275 0.0
0.8000     0.0495 0.0
0.7000     0.0677 0.0
0.6000     0.0842 0.0
0.5000     0.0957 0.0
0.4000     0.1030 0.0
0.3000     0.1043 0.0
0.2000     0.0990 0.0
0.1500     0.0935 0.0
0.1000     0.0792 0.0
0.0750     0.0750 0.0
0.0500     0.0637 0.0
0.0250     0.0490 0.0
0.0125     0.0383 0.0
0.0000     0.0180 0.0
0.0125     0.0085 0.0
0.0250     0.0050 0.0
0.0500     0.0005 0.0
0.0750     0.0000 0.0
0.1000     0.0000 0.0
0.1500     0.0030 0.0
0.2000     0.0055 0.0
0.3000     0.0097 0.0
0.4000     0.0112 0.0
0.5000     0.0115 0.0
0.6000     0.0095 0.0
0.7000     0.0075 0.0
0.8000     0.0050 0.0
0.9000     0.0025 0.0
0.9500     0.0010 0.0
1.0000     0.0042 0.0
