33
1.0000     0.0034 0.0
0.9500     0.0174 0.0
0.9000     0.0296 0.0
0.8000     0.0510 0.0
0.7000     0.0712 0.0
0.6000     0.0874 0.0
0.5000     0.1010 0.0
0.4000     0.1088 0.0
0.3000     0.1124 0.0
0.2000     0.1096 0.0
0.1500     0.1022 0.0
0.1000     0.0914 0.0
0.0750     0.0842 0.0
0.0500     0.0738 0.0
0.0250     0.0594 0.0
0.0125     0.0492 0.0
0.0000     0.0300 0.0
0.0125     0.0158 0.0
0.0250     0.0114 0.0
0.0500     0.0068 0.0
0.0750     0.0042 0.0
0.1000     0.0026 0.0
0.1500     0.0000 0.0
0.2000     0.0000 0.0
0.3000     0.0002 0.0
0.4000     0.0006 0.0
0.5000     0.0012 0.0
0.6000     0.0014 0.0
0.7000     0.0010 0.0
0.8000     0.0008 0.0
0.9000     0.0004 0.0
0.9500     0.0002 0.0
1.0000     0.0034 0.0
