33
1.0000     0.0205 0.0
0.9500     0.0293 0.0
0.9000     0.0384 0.0
0.8000     0.0562 0.0
0.7000     0.0741 0.0
0.6000     0.0915 0.0
0.5000     0.1052 0.0
0.4000     0.1140 0.0
0.3000     0.1170 0.0
0.2000     0.1136 0.0
0.1500     0.1068 0.0
0.1000     0.0960 0.0
0.0750     0.0885 0.0
0.0500     0.0790 0.0
0.0250     0.0650 0.0
0.0125     0.0545 0.0
0.0000     0.0350 0.0
0.0125     0.0193 0.0
0.0250     0.0147 0.0
0.0500     0.0093 0.0
0.0750     0.0063 0.0
0.1000     0.0042 0.0
0.1500     0.0015 0.0
0.2000     0.0003 0.0
0.3000     0.0000 0.0
0.4000     0.0000 0.0
0.5000     0.0000 0.0
0.6000     0.0000 0.0
0.7000     0.0006 0.0
0.8000     0.0038 0.0
0.9000     0.0102 0.0
0.9500     0.0140 0.0
1.0000     0.0205 0.0
