33
1.0000     0.0020 0.0
0.9500     0.0069 0.0
0.9000     0.0115 0.0
0.8000     0.0199 0.0
0.7000     0.0271 0.0
0.6000     0.0330 0.0
0.5000     0.0374 0.0
0.4000     0.0400 0.0
0.3000     0.0403 0.0
0.2000     0.0378 0.0
0.1500     0.0349 0.0
0.1000     0.0305 0.0
0.0750     0.0274 0.0
0.0500     0.0233 0.0
0.0250     0.0174 0.0
0.0125     0.0130 0.0
0.0000     0.0000 0.0
0.0125     -0.0130 0.0
0.0250     -0.0174 0.0
0.0500     -0.0233 0.0
0.0750     -0.0274 0.0
0.1000     -0.0305 0.0
0.1500     -0.0349 0.0
0.2000     -0.0378 0.0
0.3000     -0.0403 0.0
0.4000     -0.0400 0.0
0.5000     -0.0374 0.0
0.6000     -0.0330 0.0
0.7000     -0.0271 0.0
0.8000     -0.0199 0.0
0.9000     -0.0115 0.0
0.9500     -0.0069 0.0
1.0000     0.0020 0.0
